"","X.1","X","remakes_title","remakes_year","originals_title","originals_year","yearsBetween","key","remakes_shortTitle","remakes_key","originals_shortTitle","originals_key"
"651",651,651,"The Time Machine (2002) dir. Simon Wells",2002,"The Time Machine (1960) dir. George Pal
Based on the novella by H. G. Wells",1960,42,"The Time Machine (2002) dir. Simon Wells (2002)","The Time Machine ","The Time Machine (2002)","The Time Machine ","The Time Machine (1960)"
"652",652,652,"To Be Or Not To Be (1983) dir. Alan Johnson",1983,"To Be Or Not To Be (1942) dir. Ernst Lubitsch",1942,41,"To Be Or Not To Be (1983) dir. Alan Johnson (1983)","To Be Or Not To Be ","To Be Or Not To Be (1983)","To Be Or Not To Be ","To Be Or Not To Be (1942)"
"653",653,653,"To Have and to Hold (1922) dir. Jesse L. Lasky",1922,"To Have and to Hold (1916) dir. George Melford",1916,6,"To Have and to Hold (1922) dir. Jesse L. Lasky (1922)","To Have and to Hold ","To Have and to Hold (1922)","To Have and to Hold ","To Have and to Hold (1916)"
"654",654,654,"Tol'able David (1930) dir. John G. Blystone",1930,"Tol'able David (1921) dir. Henry King",1921,9,"Tol'able David (1930) dir. John G. Blystone (1930)","Tol'able David ","Tol'able David (1930)","Tol'able David ","Tol'able David (1921)"
"655",655,655,"Too Good to Be True (1988) dir. Christian I. Nyby, II",1988,"Leave Her to Heaven (1945) dir. John M. Stahl",1945,43,"Too Good to Be True (1988) dir. Christian I. Nyby, II (1988)","Too Good to Be True ","Too Good to Be True (1988)","Leave Her to Heaven ","Leave Her to Heaven (1945)"
"656",656,656,"Toolbox Murders (2004) dir. Tobe Hooper",2004,"The Toolbox Murders (1978) dir. Dennis Donnelly",1978,26,"Toolbox Murders (2004) dir. Tobe Hooper (2004)","Toolbox Murders ","Toolbox Murders (2004)","The Toolbox Murders ","The Toolbox Murders (1978)"
"657",657,657,"Tortilla Soup (2001) dir. Mar�_a Ripoll",2001,"Eat Drink Man Woman (1994) dir. Ang Lee",1994,7,"Tortilla Soup (2001) dir. Mar�_a Ripoll (2001)","Tortilla Soup ","Tortilla Soup (2001)","Eat Drink Man Woman ","Eat Drink Man Woman (1994)"
"658",658,658,"Total Recall (2012) dir. Len Wiseman",2012,"Total Recall (1990) dir. Paul Verhoeven
Based on the short story We Can Remember It for You Wholesale by Philip K. Dick",1990,22,"Total Recall (2012) dir. Len Wiseman (2012)","Total Recall ","Total Recall (2012)","Total Recall ","Total Recall (1990)"
"659",659,659,"The Tourist (2010) dir. Florian Henckel von Donnersmarck",2010,"Anthony Zimmer (2005) dir. J̩r̫me Salle",2005,5,"The Tourist (2010) dir. Florian Henckel von Donnersmarck (2010)","The Tourist ","The Tourist (2010)","Anthony Zimmer ","Anthony Zimmer (2005)"
"660",660,660,"Tower of London (1962) dir. Roger Corman",1962,"Tower of London (1939) dir. Rowland V. Lee",1939,23,"Tower of London (1962) dir. Roger Corman (1962)","Tower of London ","Tower of London (1962)","Tower of London ","Tower of London (1939)"
"661",661,661,"The Town That Dreaded Sundown (2014) dir. Alfonso Gomez-Rejon",2014,"The Town That Dreaded Sundown (1977) dir. Charles B. Pierce",1977,37,"The Town That Dreaded Sundown (2014) dir. Alfonso Gomez-Rejon (2014)","The Town That Dreaded Sundown ","The Town That Dreaded Sundown (2014)","The Town That Dreaded Sundown ","The Town That Dreaded Sundown (1977)"
"662",662,662,"The Toy (1982) dir. Richard Donner",1982,"Le Jouet (1976) dir. Francis Veber",1976,6,"The Toy (1982) dir. Richard Donner (1982)","The Toy ","The Toy (1982)","Le Jouet ","Le Jouet (1976)"
"663",663,663,"Trader Horn (1973) dir. Reza Badiyi",1973,"Trader Horn (1931) dir. W.S. Van Dyke",1931,42,"Trader Horn (1973) dir. Reza Badiyi (1973)","Trader Horn ","Trader Horn (1973)","Trader Horn ","Trader Horn (1931)"
"664",664,664,"True Lies (1994) dir. James Cameron",1994,"La Totale! (1991) dir. Claude Zidi",1991,3,"True Lies (1994) dir. James Cameron (1994)","True Lies ","True Lies (1994)","La Totale! ","La Totale! (1991)"
"665",665,665,"The Truth About Charlie (2002) dir. Jonathan Demme",2002,"Charade (1963) dir. Stanley Donen",1963,39,"The Truth About Charlie (2002) dir. Jonathan Demme (2002)","The Truth About Charlie ","The Truth About Charlie (2002)","Charade ","Charade (1963)"
"666",666,666,"Two Much (1996) dir. Fernando Trueba",1996,"Le jumeau (1984) dir. Yves Robert
Based on Two Much by Donald E. Westlake",1984,12,"Two Much (1996) dir. Fernando Trueba (1996)","Two Much ","Two Much (1996)","Le jumeau ","Le jumeau (1984)"
"667",667,667,"Unfaithful (2002) dir. Adrian Lyne",2002,"La femme infid̬le (1969) dir. Claude Chabrol",1969,33,"Unfaithful (2002) dir. Adrian Lyne (2002)","Unfaithful ","Unfaithful (2002)","La femme infid̬le ","La femme infid̬le (1969)"
"668",668,668,"Unfaithfully Yours (1984) dir. Howard Zieff",1984,"Unfaithfully Yours (1948) dir. Preston Sturges",1948,36,"Unfaithfully Yours (1984) dir. Howard Zieff (1984)","Unfaithfully Yours ","Unfaithfully Yours (1984)","Unfaithfully Yours ","Unfaithfully Yours (1948)"
"669",669,669,"Under Suspicion (2000) dir. Stephen Hopkins",2000,"Garde �� vue (1981) dir. Claude Miller",1981,19,"Under Suspicion (2000) dir. Stephen Hopkins (2000)","Under Suspicion ","Under Suspicion (2000)","Garde �� vue ","Garde �� vue (1981)"
"670",670,670,"The Underneath (1995) dir. Steven Soderbergh",1995,"Criss Cross (1949) dir. Robert Siodmak
Based on the novel Criss Cross by Don Tracy",1949,46,"The Underneath (1995) dir. Steven Soderbergh (1995)","The Underneath ","The Underneath (1995)","Criss Cross ","Criss Cross (1949)"
"671",671,671,"The Unholy Three (1930) dir. Jack Conway",1930,"The Unholy Three (1925) dir. Tod Browning",1925,5,"The Unholy Three (1930) dir. Jack Conway (1930)","The Unholy Three ","The Unholy Three (1930)","The Unholy Three ","The Unholy Three (1925)"
"672",672,672,"The Unknown Soldier (1985) dir. Rauni Mollberg",1985,"The Unknown Soldier (1955) dir. Edvin Laine",1955,30,"The Unknown Soldier (1985) dir. Rauni Mollberg (1985)","The Unknown Soldier ","The Unknown Soldier (1985)","The Unknown Soldier ","The Unknown Soldier (1955)"
"673",673,673,"Van Gogh (1948) dir. Alain Resnais",1948,"Van Gogh (1947) dir. Alain Resnais",1947,1,"Van Gogh (1948) dir. Alain Resnais (1948)","Van Gogh ","Van Gogh (1948)","Van Gogh ","Van Gogh (1947)"
"674",674,674,"Vanilla Sky (2001) dir. Cameron Crowe",2001,"Abre Los Ojos (1997) dir. Alejandro Amen��bar",1997,4,"Vanilla Sky (2001) dir. Cameron Crowe (2001)","Vanilla Sky ","Vanilla Sky (2001)","Abre Los Ojos ","Abre Los Ojos (1997)"
"675",675,675,"The Vanishing (1993) dir. George Sluizer",1993,"Spoorloos (1988) dir George Sluizer",1988,5,"The Vanishing (1993) dir. George Sluizer (1993)","The Vanishing ","The Vanishing (1993)","Spoorloos ","Spoorloos (1988)"
"676",676,676,"Vanishing Point (1997) dir. Charles Robert Carner",1997,"Vanishing Point (1971) dir. Richard C. Sarafian",1971,26,"Vanishing Point (1997) dir. Charles Robert Carner (1997)","Vanishing Point ","Vanishing Point (1997)","Vanishing Point ","Vanishing Point (1971)"
"677",677,677,"V�_stkustens hj�_ltar (1940) dir. Lau Lauritzen, Jr. & Alice O'Fredericks",1940,"Blaavand melder storm (1938) dir. Lau Lauritzen, Jr. & Alice O'Fredericks",1938,2,"V�_stkustens hj�_ltar (1940) dir. Lau Lauritzen, Jr. & Alice O'Fredericks (1940)","V�_stkustens hj�_ltar ","V�_stkustens hj�_ltar (1940)","Blaavand melder storm ","Blaavand melder storm (1938)"
"678",678,678,"Vicki (1953) dir. Harry Horner",1953,"I Wake Up Screaming (1942) dir. H. Bruce Humberstone",1942,11,"Vicki (1953) dir. Harry Horner (1953)","Vicki ","Vicki (1953)","I Wake Up Screaming ","I Wake Up Screaming (1942)"
"679",679,679,"First a Girl (1935) dir. Victor Saville",1935,"Viktor und Viktoria (1933) dir. Reinhold Schunzel",1933,2,"First a Girl (1935) dir. Victor Saville (1935)","First a Girl ","First a Girl (1935)","Viktor und Viktoria ","Viktor und Viktoria (1933)"
"680",680,680,"Victor and Victoria (1957) dir. Karl Anton",1957,"Viktor und Viktoria (1933) dir. Reinhold Schunzel",1933,24,"Victor and Victoria (1957) dir. Karl Anton (1957)","Victor and Victoria ","Victor and Victoria (1957)","Viktor und Viktoria ","Viktor und Viktoria (1933)"
"681",681,681,"Victor/Victoria (1982) dir. Blake Edwards",1982,"Viktor und Viktoria (1933) dir. Reinhold Schunzel",1933,49,"Victor/Victoria (1982) dir. Blake Edwards (1982)","Victor/Victoria ","Victor/Victoria (1982)","Viktor und Viktoria ","Viktor und Viktoria (1933)"
"682",682,682,"Village of the Damned (1995) dir. John Carpenter",1995,"Village of the Damned (1960) dir. Wolf Rilla
Based on the novel The Midwich Cuckoos by John Wyndham",1960,35,"Village of the Damned (1995) dir. John Carpenter (1995)","Village of the Damned ","Village of the Damned (1995)","Village of the Damned ","Village of the Damned (1960)"
"683",683,683,"Walk Don't Run (1966) dir. Charles Walters",1966,"The More the Merrier (1943) dir. George Stevens",1943,23,"Walk Don't Run (1966) dir. Charles Walters (1966)","Walk Don't Run ","Walk Don't Run (1966)","The More the Merrier ","The More the Merrier (1943)"
"684",684,684,"A Walk in the Clouds (1995) dir. Alfonso Arau",1995,"Sous le ciel de Provence (1956) dir. Mario Soldati",1956,39,"A Walk in the Clouds (1995) dir. Alfonso Arau (1995)","A Walk in the Clouds ","A Walk in the Clouds (1995)","Sous le ciel de Provence ","Sous le ciel de Provence (1956)"
"685",685,685,"Walking Tall (2004) dir. Kevin Bray",2004,"Walking Tall (1973) dir. Phil Karlson",1973,31,"Walking Tall (2004) dir. Kevin Bray (2004)","Walking Tall ","Walking Tall (2004)","Walking Tall ","Walking Tall (1973)"
"686",686,686,"Waterloo Bridge (1940) dir. Mervyn LeRoy",1940,"Waterloo Bridge (1931) dir. James Whale",1931,9,"Waterloo Bridge (1940) dir. Mervyn LeRoy (1940)","Waterloo Bridge ","Waterloo Bridge (1940)","Waterloo Bridge ","Waterloo Bridge (1931)"
"687",687,687,"War of the Worlds (2005) dir. Steven Spielberg",2005,"The War of the Worlds (1953) dir. Byron Haskin",1953,52,"War of the Worlds (2005) dir. Steven Spielberg (2005)","War of the Worlds ","War of the Worlds (2005)","The War of the Worlds ","The War of the Worlds (1953)"
"688",688,688,"The Way of All Flesh (1940) dir. Louis King",1940,"The Way of All Flesh (1927) dir. Victor Fleming",1927,13,"The Way of All Flesh (1940) dir. Louis King (1940)","The Way of All Flesh ","The Way of All Flesh (1940)","The Way of All Flesh ","The Way of All Flesh (1927)"
"689",689,689,"Web of the Spider (1971) dir. Antonio Margheriti",1971,"Castle of Blood (1964) dir. Antonio Margheriti",1964,7,"Web of the Spider (1971) dir. Antonio Margheriti (1971)","Web of the Spider ","Web of the Spider (1971)","Castle of Blood ","Castle of Blood (1964)"
"690",690,690,"We Are Family (2010) dir. Siddharth Malhotra",2010,"Stepmom (1998) dir. Chris Columbus",1998,12,"We Are Family (2010) dir. Siddharth Malhotra (2010)","We Are Family ","We Are Family (2010)","Stepmom ","Stepmom (1998)"
"691",691,691,"Crackers (1984) dir. Louis Malle",1984,"Big Deal on Madonna Street (1958) dir. Mario Monicelli",1958,26,"Crackers (1984) dir. Louis Malle (1984)","Crackers ","Crackers (1984)","Big Deal on Madonna Street ","Big Deal on Madonna Street (1958)"
"692",692,692,"Welcome to Collinwood (2002) dir. Anthony Russo & Joe Russo",2002,"Big Deal on Madonna Street (1958) dir. Mario Monicelli",1958,44,"Welcome to Collinwood (2002) dir. Anthony Russo & Joe Russo (2002)","Welcome to Collinwood ","Welcome to Collinwood (2002)","Big Deal on Madonna Street ","Big Deal on Madonna Street (1958)"
"693",693,693,"We're No Angels (1989) dir. Neil Jordan",1989,"We're No Angels (1955) dir. Michael Curtiz",1955,34,"We're No Angels (1989) dir. Neil Jordan (1989)","We're No Angels ","We're No Angels (1989)","We're No Angels ","We're No Angels (1955)"
"694",694,694,"What a Girl Wants (2003) dir. Dennie Gordon",2003,"The Reluctant Debutante (1958) dir. Vincente Minnelli",1958,45,"What a Girl Wants (2003) dir. Dennie Gordon (2003)","What a Girl Wants ","What a Girl Wants (2003)","The Reluctant Debutante ","The Reluctant Debutante (1958)"
"695",695,695,"What Ever Happened to Baby Jane? (1991) dir. David Greene",1991,"What Ever Happened to Baby Jane? (1962) dir. Robert Aldrich",1962,29,"What Ever Happened to Baby Jane? (1991) dir. David Greene (1991)","What Ever Happened to Baby Jane? ","What Ever Happened to Baby Jane? (1991)","What Ever Happened to Baby Jane? ","What Ever Happened to Baby Jane? (1962)"
"696",696,696,"What Women Want (2011) dir. Chen Daming",2011,"What Women Want (2000) dir. Nancy Meyers",2000,11,"What Women Want (2011) dir. Chen Daming (2011)","What Women Want ","What Women Want (2011)","What Women Want ","What Women Want (2000)"
"697",697,697,"When a Stranger Calls (2006) dir. Simon West",2006,"When a Stranger Calls (1979) dir. Fred Walton",1979,27,"When a Stranger Calls (2006) dir. Simon West (2006)","When a Stranger Calls ","When a Stranger Calls (2006)","When a Stranger Calls ","When a Stranger Calls (1979)"
"698",698,698,"Where the Boys Are '84 (1984) dir. Hy Averback",1984,"Where the Boys Are (1960) dir. Henry Levin",1960,24,"Where the Boys Are '84 (1984) dir. Hy Averback (1984)","Where the Boys Are '84 ","Where the Boys Are '84 (1984)","Where the Boys Are ","Where the Boys Are (1960)"
"699",699,699,"The Wicked Lady (1983) dir. Michael Winner",1983,"The Wicked Lady (1945) dir. Leslie Arliss",1945,38,"The Wicked Lady (1983) dir. Michael Winner (1983)","The Wicked Lady ","The Wicked Lady (1983)","The Wicked Lady ","The Wicked Lady (1945)"
"700",700,700,"The Wicker Man (2006) dir. Neil LaBute",2006,"The Wicker Man (1973) dir. Robin Hardy",1973,33,"The Wicker Man (2006) dir. Neil LaBute (2006)","The Wicker Man ","The Wicker Man (2006)","The Wicker Man ","The Wicker Man (1973)"
"701",701,701,"Wicker Park (2004) dir. Paul McGuigan",2004,"L'Appartement (1996) dir. Gilles Mimouni",1996,8,"Wicker Park (2004) dir. Paul McGuigan (2004)","Wicker Park ","Wicker Park (2004)","L'Appartement ","L'Appartement (1996)"
"702",702,702,"Willard (2003) dir. Glen Morgan",2003,"Willard (1971) dir. Daniel Mann",1971,32,"Willard (2003) dir. Glen Morgan (2003)","Willard ","Willard (2003)","Willard ","Willard (1971)"
"703",703,703,"The Witness (2015) dir. Ahn Sang-hoon",2015,"Blind (2011) dir. Ahn Sang-hoon",2011,4,"The Witness (2015) dir. Ahn Sang-hoon (2015)","The Witness ","The Witness (2015)","Blind ","Blind (2011)"
"704",704,704,"The Wizard of Gore (2007) dir. Jeremy Kasten",2007,"The Wizard of Gore (1970) dir. Herschell Gordon Lewis",1970,37,"The Wizard of Gore (2007) dir. Jeremy Kasten (2007)","The Wizard of Gore ","The Wizard of Gore (2007)","The Wizard of Gore ","The Wizard of Gore (1970)"
"705",705,705,"The Wolfman (2010) dir. Joe Johnston",2010,"The Wolf Man (1941) dir. George Waggner",1941,69,"The Wolfman (2010) dir. Joe Johnston (2010)","The Wolfman ","The Wolfman (2010)","The Wolf Man ","The Wolf Man (1941)"
"706",706,706,"The Woman in Black (2012) dir. James Watkins",2012,"The Woman in Black (1989) dir. Herbert Wise",1989,23,"The Woman in Black (2012) dir. James Watkins (2012)","The Woman in Black ","The Woman in Black (2012)","The Woman in Black ","The Woman in Black (1989)"
"707",707,707,"The Woman in Red (1984) dir. Gene Wilder",1984,"Un ̩l̩phant ̤a trompe ̩norm̩ment (1976) dir. Yves Robert",1976,8,"The Woman in Red (1984) dir. Gene Wilder (1984)","The Woman in Red ","The Woman in Red (1984)","Un ̩l̩phant ̤a trompe ̩norm̩ment ","Un ̩l̩phant ̤a trompe ̩norm̩ment (1976)"
"708",708,708,"The Opposite Sex (1956) dir. David Miller",1956,"The Women (1939) dir. George Cukor",1939,17,"The Opposite Sex (1956) dir. David Miller (1956)","The Opposite Sex ","The Opposite Sex (1956)","The Women ","The Women (1939)"
"709",709,709,"The Women (2008) dir. Diane English",2008,"The Women (1939) dir. George Cukor",1939,69,"The Women (2008) dir. Diane English (2008)","The Women ","The Women (2008)","The Women ","The Women (1939)"
"710",710,710,"The Wool Cap (2004) dir. Steven Schachter",2004,"Gigot (1962) dir. Gene Kelly",1962,42,"The Wool Cap (2004) dir. Steven Schachter (2004)","The Wool Cap ","The Wool Cap (2004)","Gigot ","Gigot (1962)"
"711",711,711,"The Yellow Handkerchief (2010) dir. Udayan Prasad",2010,"The Yellow Handkerchief (1977) dir. Yoji Yamada",1977,33,"The Yellow Handkerchief (2010) dir. Udayan Prasad (2010)","The Yellow Handkerchief ","The Yellow Handkerchief (2010)","The Yellow Handkerchief ","The Yellow Handkerchief (1977)"
"712",712,712,"Yogi (2007) dir. V.V. Vinayak",2007,"Jogi (2005) dir. Prem",2005,2,"Yogi (2007) dir. V.V. Vinayak (2007)","Yogi ","Yogi (2007)","Jogi ","Jogi (2005)"
"713",713,713,"Eve Knew Her Apples (1945) dir. Will Jason",1945,"It Happened One Night (1934) dir. Frank Capra",1934,11,"Eve Knew Her Apples (1945) dir. Will Jason (1945)","Eve Knew Her Apples ","Eve Knew Her Apples (1945)","It Happened One Night ","It Happened One Night (1934)"
"714",714,714,"You Can't Run Away from It (1956) dir. Dick Powell",1956,"It Happened One Night (1934) dir. Frank Capra",1934,22,"You Can't Run Away from It (1956) dir. Dick Powell (1956)","You Can't Run Away from It ","You Can't Run Away from It (1956)","It Happened One Night ","It Happened One Night (1934)"
"715",715,715,"Young Frankenstein (1974) dir. Mel Brooks",1974,"Son of Frankenstein (1939) dir. Rowland V. Lee",1939,35,"Young Frankenstein (1974) dir. Mel Brooks (1974)","Young Frankenstein ","Young Frankenstein (1974)","Son of Frankenstein ","Son of Frankenstein (1939)"
"716",716,716,"Yours, Mine and Ours (2005) dir. Raja Gosnell",2005,"Yours, Mine and Ours (1968) dir. Melville Shavelson",1968,37,"Yours, Mine and Ours (2005) dir. Raja Gosnell (2005)","Yours, Mine and Ours ","Yours, Mine and Ours (2005)","Yours, Mine and Ours ","Yours, Mine and Ours (1968)"
"717",717,717,"You're Never Too Young (1955) dir. Norman Taurog",1955,"The Major and the Minor (1942) dir. Billy Wilder",1942,13,"You're Never Too Young (1955) dir. Norman Taurog (1955)","You're Never Too Young ","You're Never Too Young (1955)","The Major and the Minor ","The Major and the Minor (1942)"
"718",718,718,"In the Good Old Summertime (1949) dir. Robert Z. Leonard",1949,"The Shop Around the Corner (1940) dir. Ernst Lubitsch
Based on the play by Mikl�_s L��szl�_",1940,9,"In the Good Old Summertime (1949) dir. Robert Z. Leonard (1949)","In the Good Old Summertime ","In the Good Old Summertime (1949)","The Shop Around the Corner ","The Shop Around the Corner (1940)"
"719",719,719,"Pillow Talk (1959) dir. Michael Gordon",1959,"The Shop Around the Corner (1940) dir. Ernst Lubitsch
Based on the play by Mikl�_s L��szl�_",1940,19,"Pillow Talk (1959) dir. Michael Gordon (1959)","Pillow Talk ","Pillow Talk (1959)","The Shop Around the Corner ","The Shop Around the Corner (1940)"
"720",720,720,"You've Got Mail (1998) dir. Nora Ephron",1998,"The Shop Around the Corner (1940) dir. Ernst Lubitsch
Based on the play by Mikl�_s L��szl�_",1940,58,"You've Got Mail (1998) dir. Nora Ephron (1998)","You've Got Mail ","You've Got Mail (1998)","The Shop Around the Corner ","The Shop Around the Corner (1940)"
